Value,Date
11734,20/08/2020
11969.53,19/08/2020
12293.72,18/08/2020
11914.01,17/08/2020
11873.98,16/08/2020
11774.38,15/08/2020
11777.43,14/08/2020
11573.11,13/08/2020
11392.43,12/08/2020
11893.03,11/08/2020
11684.06,10/08/2020
11767.6,09/08/2020
11605.6,08/08/2020
11772.94,07/08/2020
11750.28,06/08/2020
11194.25,05/08/2020
11242.57,04/08/2020
11077.77,03/08/2020
11823.69,02/08/2020
11343.88,01/08/2020
11114.93,31/07/2020
11102.67,30/07/2020
10934.94,29/07/2020
11042.4,28/07/2020
9938.83,27/07/2020
9707.5,26/07/2020
9551.28,25/07/2020
9613.11,24/07/2020
9537.4,23/07/2020
9392.66,22/07/2020
9163.87,21/07/2020
9214.66,20/07/2020
9174.71,19/07/2020
9154.19,18/07/2020
9131,17/07/2020
9193.51,16/07/2020
9254.52,15/07/2020
9238.13,14/07/2020
9295.9,13/07/2020
9235.96,12/07/2020
9287.4,11/07/2020
9238.04,10/07/2020
9440.07,09/07/2020
9256.23,08/07/2020
9348.91,07/07/2020
9089.09,06/07/2020
9131.31,05/07/2020
9072.42,04/07/2020
9087.98,03/07/2020
9236.38,02/07/2020
9133.97,01/07/2020
9185.35,30/06/2020
9127.47,29/06/2020
9004.23,28/06/2020
9154.45,27/06/2020
9240.85,26/06/2020
9276.58,25/06/2020
9621.49,24/06/2020
9691.9,23/06/2020
9284.78,22/06/2020
9357.43,21/06/2020
9300.15,20/06/2020
9380.03,19/06/2020
9454.81,18/06/2020
9526,17/06/2020
9426.7,16/06/2020
9330.07,15/06/2020
9473.5,14/06/2020
9459.97,13/06/2020
9286.42,12/06/2020
9892.13,11/06/2020
9775.15,10/06/2020
9782.59,09/06/2020
9753.85,08/06/2020
9670.43,07/06/2020
9623.75,06/06/2020
9794.56,05/06/2020
9658.04,04/06/2020
9525.57,03/06/2020
10204.23,02/06/2020
9450.84,01/06/2020
9698.1,31/05/2020
9425.98,30/05/2020
9569.21,29/05/2020
9197.54,28/05/2020
8842.85,27/05/2020
8899.66,26/05/2020
8730.73,25/05/2020
9178.32,24/05/2020
9167.26,23/05/2020
9057.57,22/05/2020
9510.67,21/05/2020
9785.74,20/05/2020
9719.37,19/05/2020
9669.4,18/05/2020
9385.7,17/05/2020
9303.59,16/05/2020
9790.31,15/05/2020
9305.93,14/05/2020
8814.53,13/05/2020
8617.25,12/05/2020
8754.46,11/05/2020
9527.39,10/05/2020
9821.8,09/05/2020
10002.48,08/05/2020
9170.79,07/05/2020
9030.96,06/05/2020
8885.93,05/05/2020
8903.95,04/05/2020
8973.82,03/05/2020
8824.66,02/05/2020
8628.77,01/05/2020
8777.63,30/04/2020
7765.33,29/04/2020
7790.66,28/04/2020
7699.27,27/04/2020
7549.52,26/04/2020
7507.08,25/04/2020
7477.6,24/04/2020
7130.99,23/04/2020
6852.52,22/04/2020
6840.24,21/04/2020
7130.04,20/04/2020
7259.36,19/04/2020
7034.89,18/04/2020
7112.27,17/04/2020
6623.8,16/04/2020
6871.95,15/04/2020
6857.66,14/04/2020
6915.37,13/04/2020
6891.6,12/04/2020
6873.24,11/04/2020
7293.69,10/04/2020
7365.03,09/04/2020
7205.55,08/04/2020
7343.2,07/04/2020
6777.44,06/04/2020
6871.69,05/04/2020
6741.67,04/04/2020
6809.11,03/04/2020
6652.87,02/04/2020
6428.28,01/04/2020
6405.29,31/03/2020
5885.41,30/03/2020
6260.95,29/03/2020
6369.09,28/03/2020
6763.75,27/03/2020
6698.46,26/03/2020
6768.49,25/03/2020
6502.16,24/03/2020
5822.62,23/03/2020
6189.85,22/03/2020
6226.44,21/03/2020
6195.2,20/03/2020
5410.23,19/03/2020
5357.61,18/03/2020
5026.35,17/03/2020
5348.44,16/03/2020
5166.26,15/03/2020
5609.03,14/03/2020
4830.21,13/03/2020
7936.65,12/03/2020
7885.46,11/03/2020
7931.94,10/03/2020
8039.38,09/03/2020
8898.63,08/03/2020
9155.89,07/03/2020
9067.39,06/03/2020
8758.9,05/03/2020
8754.34,04/03/2020
8912.82,03/03/2020
8912.82,02/03/2020
8534.17,01/03/2020
8712.35,29/02/2020
8804.72,28/02/2020
8785.52,27/02/2020
9309.15,26/02/2020
9663.75,25/02/2020
9989.39,24/02/2020
9669.63,23/02/2020
9696.58,22/02/2020
9606.86,21/02/2020
9604.72,20/02/2020
10180.65,19/02/2020
9703.93,18/02/2020
9937.67,17/02/2020
9904.17,16/02/2020
10368.53,15/02/2020
10242.43,14/02/2020
10354.3,13/02/2020
10275.38,12/02/2020
9854.79,11/02/2020
10162.41,10/02/2020
9907.12,09/02/2020
9807.54,08/02/2020
9755.66,07/02/2020
9614.9,06/02/2020
9162.14,05/02/2020
9162.14,04/02/2020
9314.56,03/02/2020
9378.09,02/02/2020
9333.77,01/02/2020
9502.37,31/01/2020
9279.81,30/01/2020
9385.69,29/01/2020
8895.78,28/01/2020
8588.42,27/01/2020
8327.36,26/01/2020
8428.17,25/01/2020
8388.11,24/01/2020
8658.94,23/01/2020
8722.26,22/01/2020
8626.47,21/01/2020
8703.36,20/01/2020
8910.85,19/01/2020
8900.34,18/01/2020
8722.03,17/01/2020
8813.89,16/01/2020
8842.42,15/01/2020
8105.24,14/01/2020
8173.97,13/01/2020
8021.49,12/01/2020
8184.66,11/01/2020
7817.92,10/01/2020
8042.65,09/01/2020
8165.47,08/01/2020
7759.24,07/01/2020
7351.57,06/01/2020
7347.89,05/01/2020
7326.35,04/01/2020
6944.33,03/01/2020
7175.68,02/01/2020
7168.31,01/01/2020
7219.6,31/12/2019
7385.36,30/12/2019
7301.07,29/12/2019
7243.93,28/12/2019
7194.4,27/12/2019
7192.72,26/12/2019
7250.69,25/12/2019
7322.08,24/12/2019
7514.41,23/12/2019
7143.2,22/12/2019
7190.17,21/12/2019
7150.86,20/12/2019
7284.29,19/12/2019
6612.12,18/12/2019
6879.54,17/12/2019
7111.14,16/12/2019
7067.74,15/12/2019
7251.87,14/12/2019
7189.16,13/12/2019
7202.31,12/12/2019
7220.76,11/12/2019
7337.42,10/12/2019
7522.39,09/12/2019
7504.83,08/12/2019
7547.19,07/12/2019
7395.97,06/12/2019
7192.85,05/12/2019
7296.77,04/12/2019
7309.59,03/12/2019
7402.69,02/12/2019
7557.72,01/12/2019
7757.47,30/11/2019
7431,29/11/2019
7523.83,28/11/2019
7163.63,27/11/2019
7130.25,26/11/2019
6907.4,25/11/2019
7324.03,24/11/2019
7286.35,23/11/2019
7617.07,22/11/2019
8081.81,21/11/2019
8120.8,20/11/2019
8175.99,19/11/2019
8503.93,18/11/2019
8482.7,17/11/2019
8457.69,16/11/2019
8632.32,15/11/2019
8762.42,14/11/2019
8801.52,13/11/2019
8717.81,12/11/2019
9037.12,11/11/2019
8809.41,10/11/2019
8766.04,09/11/2019
9204.24,08/11/2019
9343.34,07/11/2019
9310.19,06/11/2019
9418.05,05/11/2019
9206.16,04/11/2019
9301.18,03/11/2019
9252.99,02/11/2019
9147.98,01/11/2019
9164.62,31/10/2019
9433.35,30/10/2019
9218.76,29/10/2019
9551.54,28/10/2019
9259.8,27/10/2019
8666.79,26/10/2019
7431.88,25/10/2019
7469.56,24/10/2019
8026.76,23/10/2019
8222.52,22/10/2019
8231.06,21/10/2019
7960.04,20/10/2019
7954.15,19/10/2019
8076.78,18/10/2019
8002.51,17/10/2019
8162.16,16/10/2019
8353.54,15/10/2019
8283.76,14/10/2019
8308.01,13/10/2019
8269.73,12/10/2019
8586.9,11/10/2019
8587.92,10/10/2019
8190,09/10/2019
8212.02,08/10/2019
7869.74,07/10/2019
8147.69,06/10/2019
8155.48,05/10/2019
8236.17,04/10/2019
8382.03,03/10/2019
8322.92,02/10/2019
8307.74,01/10/2019
8056.74,30/09/2019
8225,29/09/2019
8193.9,28/09/2019
8055.64,27/09/2019
8432.23,26/09/2019
8553.61,25/09/2019
9683.38,24/09/2019
10033.05,23/09/2019
9979.49,22/09/2019
10173.11,21/09/2019
10275.88,20/09/2019
10157.59,19/09/2019
10190.36,18/09/2019
10265.63,17/09/2019
10310.43,16/09/2019
10361.33,15/09/2019
10363.9,14/09/2019
10420.16,13/09/2019
10159.32,12/09/2019
10101.03,11/09/2019
10313.66,10/09/2019
10406.31,09/09/2019
10487.21,08/09/2019
10317.47,07/09/2019
10577.8,06/09/2019
10584.16,05/09/2019
10621.29,04/09/2019
10386.64,03/09/2019
9769.79,02/09/2019
9600.9,01/09/2019
9577.99,31/08/2019
9484.55,30/08/2019
9717.82,29/08/2019
10171.95,28/08/2019
10360.28,27/08/2019
10135.06,26/08/2019
10143.8,25/08/2019
10405.81,24/08/2019
10111.98,23/08/2019
10129.4,22/08/2019
10760.56,21/08/2019
10917.26,20/08/2019
10317.6,19/08/2019
10214.52,18/08/2019
10359.44,17/08/2019
10302.17,16/08/2019
10016.96,15/08/2019
10858.12,14/08/2019
11386.26,13/08/2019
11566.84,12/08/2019
11282.22,11/08/2019
11856.64,10/08/2019
11996.41,09/08/2019
11960.82,08/08/2019
11465.67,07/08/2019
11787.99,06/08/2019
10980.23,05/08/2019
10814.57,04/08/2019
10529.55,03/08/2019
10407.17,02/08/2019
10084.7,01/08/2019
9589.13,31/07/2019
9501.33,30/07/2019
9530,29/07/2019
9473.99,28/07/2019
9848.65,27/07/2019
9875.17,26/07/2019
9772.17,25/07/2019
9844.3,24/07/2019
10323.62,23/07/2019
10587.41,22/07/2019
10764.9,21/07/2019
10535.75,20/07/2019
10638.56,19/07/2019
9674.28,18/07/2019
9397.72,17/07/2019
10873.5,16/07/2019
10186.96,15/07/2019
11389.1,14/07/2019
11803.97,13/07/2019
11352.87,12/07/2019
12099.9,11/07/2019
12586.78,10/07/2019
12313.08,09/07/2019
11477.01,08/07/2019
11232.04,07/07/2019
10955.16,06/07/2019
11160.49,05/07/2019
11984.76,04/07/2019
10805.4,03/07/2019
10578.72,02/07/2019
10737.73,01/07/2019
11890.38,30/06/2019
12374.35,29/06/2019
11132.85,28/06/2019
12932.55,27/06/2019
11766.4,26/06/2019
11017.5,25/06/2019
10814.48,24/06/2019
10668.63,23/06/2019
10209.38,22/06/2019
9531.35,21/06/2019
9281.7,20/06/2019
9076.18,19/06/2019
9327.48,18/06/2019
8978.99,17/06/2019
8859.47,16/06/2019
8693.6,15/06/2019
8237.88,14/06/2019
8173.06,13/06/2019
7917.58,12/06/2019
8020.38,11/06/2019
7640.61,10/06/2019
7931.34,09/06/2019
7998.29,08/06/2019
7803.23,07/06/2019
7786.04,06/06/2019
7675.8,05/06/2019
8134.92,04/06/2019
8739.03,03/06/2019
8554.8,02/06/2019
8553.81,01/06/2019
8272.46,31/05/2019
8662.98,30/05/2019
8719.88,29/05/2019
8770.06,28/05/2019
8744.42,27/05/2019
8071.45,26/05/2019
8003.26,25/05/2019
7880.29,24/05/2019
7625.93,23/05/2019
7952.5,22/05/2019
8007.03,21/05/2019
8193.7,20/05/2019
7265.05,19/05/2019
7362.22,18/05/2019
7885.96,17/05/2019
8206.9,16/05/2019
7992.69,15/05/2019
7823.11,14/05/2019
6978.63,13/05/2019
7248.31,12/05/2019
6348.02,11/05/2019
6146.91,10/05/2019
5936.72,09/05/2019
5755.72,08/05/2019
5684.47,07/05/2019
5717.66,06/05/2019
5771.08,05/05/2019
5657.14,04/05/2019
5390.16,03/05/2019
5326.67,02/05/2019
5269.79,01/05/2019
5260.65,30/04/2019
5301.29,29/04/2019
5280.19,28/04/2019
5292.83,27/04/2019
5195.61,26/04/2019
5434.19,25/04/2019
5518.16,24/04/2019
5377.19,23/04/2019
5281.83,22/04/2019
5309.28,21/04/2019
5277.04,20/04/2019
5276.31,19/04/2019
5220.37,18/04/2019
5196.65,17/04/2019
5036.18,16/04/2019
5152.51,15/04/2019
5064.62,14/04/2019
5072.85,13/04/2019
5035.02,12/04/2019
5310.18,11/04/2019
5175.81,10/04/2019
5268.71,09/04/2019
5189.39,08/04/2019
5053.52,07/04/2019
5028.77,06/04/2019
4911.24,05/04/2019
4959.81,04/04/2019
4882.88,03/04/2019
4152.53,02/04/2019
4114.16,01/04/2019
4114.44,31/03/2019
4115.55,30/03/2019
4037.37,29/03/2019
4048.51,28/03/2019
3947.74,27/03/2019
3935.89,26/03/2019
3994.11,25/03/2019
4011.92,24/03/2019
3999.06,23/03/2019
3992.34,22/03/2019
4056.4,21/03/2019
4029.11,20/03/2019
3998.77,19/03/2019
3994.92,18/03/2019
4015.95,17/03/2019
3936.5,16/03/2019
3885.21,15/03/2019
3877.77,14/03/2019
3892.51,13/03/2019
3881.09,12/03/2019
3928.17,11/03/2019
3950.56,10/03/2019
3875.96,09/03/2019
3886.82,08/03/2019
3876.85,07/03/2019
3872.25,06/03/2019
3730.98,05/03/2019
3814.58,04/03/2019
3831.44,03/03/2019
3834.62,02/03/2019
3850.08,01/03/2019
3833.23,28/02/2019
3831.45,27/02/2019
3848.33,26/02/2019
3766.89,25/02/2019
4139.6,24/02/2019
3983.48,23/02/2019
3944.88,22/02/2019
3987.18,21/02/2019
3926.53,20/02/2019
3910.8,19/02/2019
3670.74,18/02/2019
3619.55,17/02/2019
3608.2,16/02/2019
3600.31,15/02/2019
3614.5,14/02/2019
3632.42,13/02/2019
3629.47,12/02/2019
3686.29,11/02/2019
3664.38,10/02/2019
3661.08,09/02/2019
3394.76,08/02/2019
3405.7,07/02/2019
3467.34,06/02/2019
3452.35,05/02/2019
3456.02,04/02/2019
3506.22,03/02/2019
3475.33,02/02/2019
3444.81,01/02/2019
3470,31/01/2019
3421.6,30/01/2019
3448.58,29/01/2019
3554.5,28/01/2019
3576.3,27/01/2019
3577.79,26/01/2019
3586.25,25/01/2019
3566.4,24/01/2019
3587.35,23/01/2019
3540.02,22/01/2019
3548.4275,21/01/2019
3703.98,20/01/2019
3690.523333,19/01/2019
3632.395,18/01/2019
3621.43,17/01/2019
3621.270833,16/01/2019
3656.785,15/01/2019
3531.96,14/01/2019
3599.841667,13/01/2019
3646.345833,12/01/2019
3646.25,11/01/2019
3812.585833,10/01/2019
4034.138333,09/01/2019
4032.25,08/01/2019
4036.093333,07/01/2019
3920.456667,06/01/2019
3856.62,05/01/2019
3822.626667,04/01/2019
3865.7975,03/01/2019
3855.88,02/01/2019
3752.271667,01/01/2019
3791.545833,31/12/2018
3770.36,30/12/2018
3912.285833,29/12/2018
3743.905,28/12/2018
3848.21,27/12/2018
3825.379167,26/12/2018
3813.88,25/12/2018
3995.17,24/12/2018
4027.478333,23/12/2018
3910.973333,22/12/2018
4135.19,21/12/2018
3982.850833,20/12/2018
3808.0425,19/12/2018
3556.54,18/12/2018
3392.405,17/12/2018
3271.238333,16/12/2018
3242.42,15/12/2018
3278.374167,14/12/2018
3406.7625,13/12/2018
3407.28,12/12/2018
3426.19,11/12/2018
3523.96,10/12/2018
3453.66,09/12/2018
3435.34,08/12/2018
3405.643333,07/12/2018
3744.98,06/12/2018
3858.349167,05/12/2018
3961.493333,04/12/2018
4140.6,03/12/2018
4167.546667,02/12/2018
4116.7775,01/12/2018
4278.77,30/11/2018
4263.783333,29/11/2018
4103.453846,28/11/2018
3793.35,27/11/2018
3920.536667,26/11/2018
3823.511667,25/11/2018
4352.98,24/11/2018
4309.3375,23/11/2018
4548.7975,22/11/2018
4491.98,21/11/2018
4671.97,20/11/2018
5303.9425,19/11/2018
5572.44,18/11/2018
5558.243333,17/11/2018
5596.1925,16/11/2018
5756.77,15/11/2018
6176.155,14/11/2018
6372.063333,13/11/2018
6408.53,12/11/2018
6378.268333,11/11/2018
6399.033333,10/11/2018
6444.97,09/11/2018
6486.251667,08/11/2018
6538.79,07/11/2018
6437.76,06/11/2018
6436.965,05/11/2018
6391.873333,04/11/2018
6390.42,03/11/2018
6387.674167,02/11/2018
6342.280833,01/11/2018
6301.61,31/10/2018
6309.452857,30/10/2018
6382.668333,29/10/2018
6457.21,28/10/2018
6465.9175,27/10/2018
6473.753333,26/10/2018
6489.77,25/10/2018
6508.31,24/10/2018
6481.426,23/10/2018
6504.78,22/10/2018
6531.601667,21/10/2018
6488.825833,20/10/2018
6509.61,19/10/2018
6568.040769,18/10/2018
6596.276154,17/10/2018
6599.17,16/10/2018
6452.571667,15/10/2018
6299.399167,14/10/2018
6247,13/10/2018
6260.530833,12/10/2018
6248.635833,11/10/2018
6626.85,10/10/2018
6621.711667,09/10/2018
6618.567692,08/10/2018
6573.62,07/10/2018
6581.486667,06/10/2018
6568.549167,05/10/2018
6483.73,04/10/2018
6470.4025,03/10/2018
6562.641667,02/10/2018
6611.02,01/10/2018
6593.135,30/09/2018
6550.474167,29/09/2018
6686.08,28/09/2018
6535.476667,27/09/2018
6468.631667,26/09/2018
6583.45,25/09/2018
6639.304167,24/09/2018
6710.445,23/09/2018
6756.12,22/09/2018
6669.990833,21/09/2018
6418.562667,20/09/2018
6342.39,19/09/2018
6296.631667,18/09/2018
6400.600833,17/09/2018
6522.39,16/09/2018
6518.655,15/09/2018
6499.0625,14/09/2018
6326.04,13/09/2018
6273.1375,12/09/2018
6296.320833,11/09/2018
6240.98,10/09/2018
6286.425833,09/09/2018
6366.1075,08/09/2018
6501.19,07/09/2018
6433.271667,06/09/2018
7113.069231,05/09/2018
7265.08,04/09/2018
7260.949231,03/09/2018
7247.935385,02/09/2018
7018.78,01/09/2018
6981.946154,31/08/2018
6932.6625,30/08/2018
7078.19,29/08/2018
7000.04,28/08/2018
6719.266154,27/08/2018
6738.27,26/08/2018
6719.429231,25/08/2018
6543.645714,24/08/2018
6354.57,23/08/2018
6575.229167,22/08/2018
6401.246154,21/08/2018
6486.58,20/08/2018
6404.063333,19/08/2018
6436.720833,18/08/2018
6312.75,17/08/2018
6342.629231,16/08/2018
6362.676923,15/08/2018
6252.13,14/08/2018
6347.07,13/08/2018
6311.131667,12/08/2018
6138.96,11/08/2018
6396.494667,10/08/2018
6396.7725,09/08/2018
6718.23,08/08/2018
6993.513333,07/08/2018
6988.079167,06/08/2018
7011.28,05/08/2018
7247.769167,04/08/2018
7394.499167,03/08/2018
7607.7,02/08/2018
7570.869167,01/08/2018
7916.800833,31/07/2018
8220.91,30/07/2018
8206.341667,29/07/2018
8182.251667,28/07/2018
7939.81,27/07/2018
8187.324167,26/07/2018
8251.165,25/07/2018
7715.1,24/07/2018
7689.884167,23/07/2018
7451.289167,22/07/2018
7334.99,21/07/2018
7428.045,20/07/2018
7396.401667,19/07/2018
7321.62,18/07/2018
6869.910833,17/07/2018
6514.390833,16/07/2018
6248.84,15/07/2018
6241,14/07/2018
6244.3575,13/07/2018
6403.18,12/07/2018
6377.363333,11/07/2018
6510.791667,10/07/2018
6724.04,09/07/2018
6753.559167,08/07/2018
6594.281667,07/07/2018
6555.51,06/07/2018
6603.376667,05/07/2018
6593.289167,04/07/2018
6626.44,03/07/2018
6466.069167,02/07/2018
6374.754167,01/07/2018
6223.28,30/06/2018
5908.7025,29/06/2018
6107.896154,28/06/2018
6097.46,27/06/2018
6218.595,26/06/2018
6211.4475,25/06/2018
6170.46,24/06/2018
6141.605833,23/06/2018
6332.573333,22/06/2018
6760.83,21/06/2018
6714.718333,20/06/2018
6737,19/06/2018
6445.79,18/06/2018
6464.411667,17/06/2018
6509.426667,16/06/2018
6637.41,15/06/2018
6647.013333,14/06/2018
6315.7,13/06/2018
6879.31,12/06/2018
6875.678333,11/06/2018
6776.888333,10/06/2018
7615.54,09/06/2018
7620.153333,08/06/2018
7676.271667,07/06/2018
7619.43,06/06/2018
7615.722142,05/06/2018
7500.273333,04/06/2018
7637.14,03/06/2018
7645.146667,02/06/2018
7535.146667,01/06/2018
7386.72,31/05/2018
7385.395,30/05/2018
7459.876667,29/05/2018
7344.56,28/05/2018
7361.831667,27/05/2018
7342.908333,26/05/2018
7576.78,25/05/2018
7566.193333,24/05/2018
7555.74,23/05/2018
8396.63,22/05/2018
8385.556187,21/05/2018
8507.406667,20/05/2018
8239.08,19/05/2018
8240.055,18/05/2018
8106.118333,17/05/2018
8471.06,16/05/2018
8511.458,15/05/2018
8652.038333,14/05/2018
8463.52,13/05/2018
8484.346667,12/05/2018
8468.788,11/05/2018
9310.37,10/05/2018
9322.041667,09/05/2018
9228.608333,08/05/2018
9631.44,07/05/2018
9630.136277,06/05/2018
9803.306667,05/05/2018
9753.35,04/05/2018
9639.268333,03/05/2018
9221.426,02/05/2018
9239.55,01/05/2018
9259.57,30/04/2018
9334.281667,29/04/2018
8928.55,28/04/2018
9010.32,27/04/2018
9258.398333,26/04/2018
9658.11,25/04/2018
9555.542,24/04/2018
8933.861667,23/04/2018
8930.6,22/04/2018
8807.205,21/04/2018
8852.718333,20/04/2018
8175.96,19/04/2018
8164.937426,18/04/2018
7895.416926,17/04/2018
8368.1,16/04/2018
8340.748333,15/04/2018
8036.511051,14/04/2018
7941.46,13/04/2018
7847.845,12/04/2018
6926.266667,11/04/2018
6784.41,10/04/2018
6699.273333,09/04/2018
7017.656667,08/04/2018
6634.68,07/04/2018
6603.876667,06/04/2018
6826.51,05/04/2018
7426.48,04/04/2018
7410.435,03/04/2018
7035.848333,02/04/2018
6937.56,01/04/2018
6935.48,31/03/2018
6882.531667,30/03/2018
7950.61,29/03/2018
7960.38,28/03/2018
7876.195,27/03/2018
8457.96,26/03/2018
8617.296667,25/03/2018
8662.378333,24/03/2018
8725.37,23/03/2018
8690.408333,22/03/2018
8947.753333,21/03/2018
8605.64,20/03/2018
8412.033333,19/03/2018
8171.415,18/03/2018
8297.89,17/03/2018
8530.402,16/03/2018
8358.121667,15/03/2018
9153.54,14/03/2018
9154.7,13/03/2018
9182.843333,12/03/2018
8777.37,11/03/2018
8746.002,10/03/2018
9089.278333,09/03/2018
9920.46,08/03/2018
10118.058,07/03/2018
10763.19833,06/03/2018
11516.83,05/03/2018
11430.18167,04/03/2018
11326.94833,03/03/2018
10931.12,02/03/2018
11009.38167,01/03/2018
10370.165,28/02/2018
10319.46,27/02/2018
10348.60333,26/02/2018
9696.593333,25/02/2018
10171.3,24/02/2018
10162.11667,23/02/2018
9931.071667,22/02/2018
11245.98,21/02/2018
11390.39167,20/02/2018
11110.965,19/02/2018
11085.83,18/02/2018
10841.99167,17/02/2018
10127.16167,16/02/2018
9471.64,15/02/2018
9334.633333,14/02/2018
8597.7675,13/02/2018
8068.02,12/02/2018
8343.455,11/02/2018
8319.876566,10/02/2018
8245.08,09/02/2018
8240.536667,08/02/2018
8099.958333,07/02/2018
6925.46,06/02/2018
6838.816667,05/02/2018
8400.648333,04/02/2018
8852.73,03/02/2018
8901.901667,02/02/2018
9083.258333,01/02/2018
10082.52,31/01/2018
10184.06167,30/01/2018
11212.655,29/01/2018
11431.37,28/01/2018
11524.77667,27/01/2018
10969.815,26/01/2018
11392.03,25/01/2018
11282.25833,24/01/2018
11223.064,23/01/2018
11513.42,22/01/2018
11505.228,21/01/2018
12950.79333,20/01/2018
11174.82,19/01/2018
11345.42333,18/01/2018
11116.94667,17/01/2018
13554.14,16/01/2018
14012.196,15/01/2018
13852.92,14/01/2018
13791.19,13/01/2018
13912.882,12/01/2018
13296.794,11/01/2018
14437.42,10/01/2018
14714.25333,09/01/2018
15265.90667,08/01/2018
17155.95,07/01/2018
17319.198,06/01/2018
17174.12,05/01/2018
15039.24,04/01/2018
15053.26167,03/01/2018
15005.85667,02/01/2018
13796,01/01/2018
14165.575,31/12/2017
13215.574,30/12/2017
14214.01,29/12/2017
14380.58167,28/12/2017
15589.32167,27/12/2017
13740.94,26/12/2017
14119.02833,25/12/2017
13949.175,24/12/2017
13776.61,23/12/2017
15190.945,22/12/2017
16047.51,21/12/2017
17382.94,20/12/2017
17737.11167,19/12/2017
18961.85667,18/12/2017
19279.9,17/12/2017
19498.68333,16/12/2017
17771.9,15/12/2017
16252.31,14/12/2017
16808.36667,13/12/2017
17276.39333,12/12/2017
15068.95,11/12/2017
14869.805,10/12/2017
15142.83415,09/12/2017
16860.88,08/12/2017
16501.97167,07/12/2017
13540.98,06/12/2017
11591.22,05/12/2017
11584.83,04/12/2017
11332.622,03/12/2017
10879.88,02/12/2017
10883.912,01/12/2017
10147.372,30/11/2017
9919,29/11/2017
9952.50882,28/11/2017
9718.29505,27/11/2017
8768.8,26/11/2017
8707.407267,25/11/2017
8250.978333,24/11/2017
8236.72,23/11/2017
8268.035,22/11/2017
8059.8,21/11/2017
8049.72,20/11/2017
8007.654067,19/11/2017
7817.140383,18/11/2017
7868.77,17/11/2017
7815.0307,16/11/2017
7301.42992,15/11/2017
6493.63,14/11/2017
6550.227533,13/11/2017
5716.301583,12/11/2017
6569.22,11/11/2017
6719.39785,10/11/2017
7158.03706,09/11/2017
7128.64,08/11/2017
7092.127233,07/11/2017
6989.071667,06/11/2017
7365.99,05/11/2017
7437.543317,04/11/2017
7197.72006,03/11/2017
6751.98,02/11/2017
6665.306683,01/11/2017
6388.645167,31/10/2017
6136.49,30/10/2017
6155.43402,29/10/2017
5776.69695,28/10/2017
5889.82,27/10/2017
5893.138417,26/10/2017
5669.622533,25/10/2017
5900.59,24/10/2017
5876.079867,23/10/2017
5983.18455,22/10/2017
5986.44,21/10/2017
5979.45984,20/10/2017
5727.6335,19/10/2017
5594.66,18/10/2017
5603.71294,17/10/2017
5711.205867,16/10/2017
5825.99,15/10/2017
5739.438733,14/10/2017
5563.806567,13/10/2017
4822.17,12/10/2017
4819.485767,11/10/2017
4782.28,10/10/2017
4605.66,09/10/2017
4602.280883,08/10/2017
4376.191667,07/10/2017
4318.58,06/10/2017
4338.852,05/10/2017
4225.175,04/10/2017
4394.07,03/10/2017
4386.88375,02/10/2017
4360.722967,01/10/2017
4164.27,30/09/2017
4193.574667,29/09/2017
4201.98905,28/09/2017
3881,27/09/2017
3910.307383,26/09/2017
3942.555,25/09/2017
3777.62,24/09/2017
3776.3869,23/09/2017
3637.50255,22/09/2017
3894.48,21/09/2017
3977.561667,20/09/2017
3943.413333,19/09/2017
3678.53,18/09/2017
3746.060783,17/09/2017
3763.62604,16/09/2017
3216.43,15/09/2017
3319.63,14/09/2017
3961.271267,13/09/2017
4198.59,12/09/2017
4248.090017,11/09/2017
4329.955,10/09/2017
4312.26,09/09/2017
4310.750183,08/09/2017
4654.6585,07/09/2017
4385.02,06/09/2017
4488.72014,05/09/2017
4344.098317,04/09/2017
4585.57,03/09/2017
4580.38748,02/09/2017
4911.740017,01/09/2017
4582.52,31/08/2017
4594.98785,30/08/2017
4607.98545,29/08/2017
4339.05,28/08/2017
4354.308333,27/08/2017
4360.513317,26/08/2017
4331.77,25/08/2017
4340.316717,24/08/2017
4174.95,23/08/2017
3986.28,22/08/2017
4043.722,21/08/2017
4157.958033,20/08/2017
4104.71,19/08/2017
4130.440067,18/08/2017
4328.725717,17/08/2017
4179.97,16/08/2017
4217.028329,15/08/2017
4282.992,14/08/2017
3868.52,13/08/2017
3852.802914,12/08/2017
3632.506667,11/08/2017
3340.28,10/08/2017
3357.326317,09/08/2017
3457.374333,08/08/2017
3210.2,07/08/2017
3252.562533,06/08/2017
3218.115017,05/08/2017
2790,04/08/2017
2794.117717,03/08/2017
2693.633983,02/08/2017
2862.9,01/08/2017
2866.431667,31/07/2017
2745.955417,30/07/2017
2784.8,29/07/2017
2781.636583,28/07/2017
2647.625,27/07/2017
2564.3,26/07/2017
2560.997917,25/07/2017
2751.821029,24/07/2017
2825.51,23/07/2017
2807.609857,22/07/2017
2682.195363,21/07/2017
2265.21,20/07/2017
2264.7657,19/07/2017
2320.12225,18/07/2017
1910.96,17/07/2017
1931.2143,16/07/2017
2058.9956,15/07/2017
2338.49,14/07/2017
2354.783417,13/07/2017
2385.748571,12/07/2017
2327.09,11/07/2017
2366.170143,10/07/2017
2536.238938,09/07/2017
2502.86,08/07/2017
2491.201214,07/07/2017
2609.96775,06/07/2017
2598.89,05/07/2017
2599.729838,04/07/2017
