Value,Date,200wma
0.0,2009-05-17,
0.0,2009-05-18,
0.0,2009-05-19,
0.0,2009-05-20,
0.0,2009-05-21,
0.0,2009-05-22,
0.0,2009-05-23,
0.0,2009-05-24,
0.0,2009-05-25,
0.0,2009-05-26,
0.0,2009-05-27,
0.0,2009-05-28,
0.0,2009-05-29,
0.0,2009-05-30,
0.0,2009-05-31,
0.0,2009-06-01,
0.0,2009-06-02,
0.0,2009-06-03,
0.0,2009-06-04,
0.0,2009-06-05,
0.0,2009-06-06,
0.0,2009-06-07,
0.0,2009-06-08,
0.0,2009-06-09,
0.0,2009-06-10,
0.0,2009-06-11,
0.0,2009-06-12,
0.0,2009-06-13,
0.0,2009-06-14,
0.0,2009-06-15,
0.0,2009-06-16,
0.0,2009-06-17,
0.0,2009-06-18,
0.0,2009-06-19,
0.0,2009-06-20,
0.0,2009-06-21,
0.0,2009-06-22,
0.0,2009-06-23,
0.0,2009-06-24,
0.0,2009-06-25,
0.0,2009-06-26,
0.0,2009-06-27,
0.0,2009-06-28,
0.0,2009-06-29,
0.0,2009-06-30,
0.0,2009-07-01,
0.0,2009-07-02,
0.0,2009-07-03,
0.0,2009-07-04,
0.0,2009-07-05,
0.0,2009-07-06,
0.0,2009-07-07,
0.0,2009-07-08,
0.0,2009-07-09,
0.0,2009-07-10,
0.0,2009-07-11,
0.0,2009-07-12,
0.0,2009-07-13,
0.0,2009-07-14,
0.0,2009-07-15,
0.0,2009-07-16,
0.0,2009-07-17,
0.0,2009-07-18,
0.0,2009-07-19,
0.0,2009-07-20,
0.0,2009-07-21,
0.0,2009-07-22,
0.0,2009-07-23,
0.0,2009-07-24,
0.0,2009-07-25,
0.0,2009-07-26,
0.0,2009-07-27,
0.0,2009-07-28,
0.0,2009-07-29,
0.0,2009-07-30,
0.0,2009-07-31,
0.0,2009-08-01,
0.0,2009-08-02,
0.0,2009-08-03,
0.0,2009-08-04,
0.0,2009-08-05,
0.0,2009-08-06,
0.0,2009-08-07,
0.0,2009-08-08,
0.0,2009-08-09,
0.0,2009-08-10,
0.0,2009-08-11,
0.0,2009-08-12,
0.0,2009-08-13,
0.0,2009-08-14,
0.0,2009-08-15,
0.0,2009-08-16,
0.0,2009-08-17,
0.0,2009-08-18,
0.0,2009-08-19,
0.0,2009-08-20,
0.0,2009-08-21,
0.0,2009-08-22,
0.0,2009-08-23,
0.0,2009-08-24,
0.0,2009-08-25,
0.0,2009-08-26,
0.0,2009-08-27,
0.0,2009-08-28,
0.0,2009-08-29,
0.0,2009-08-30,
0.0,2009-08-31,
0.0,2009-09-01,
0.0,2009-09-02,
0.0,2009-09-03,
0.0,2009-09-04,
0.0,2009-09-05,
0.0,2009-09-06,
0.0,2009-09-07,
0.0,2009-09-08,
0.0,2009-09-09,
0.0,2009-09-10,
0.0,2009-09-11,
0.0,2009-09-12,
0.0,2009-09-13,
0.0,2009-09-14,
0.0,2009-09-15,
0.0,2009-09-16,
0.0,2009-09-17,
0.0,2009-09-18,
0.0,2009-09-19,
0.0,2009-09-20,
0.0,2009-09-21,
0.0,2009-09-22,
0.0,2009-09-23,
0.0,2009-09-24,
0.0,2009-09-25,
0.0,2009-09-26,
0.0,2009-09-27,
0.0,2009-09-28,
0.0,2009-09-29,
0.0,2009-09-30,
0.0,2009-10-01,
0.0,2009-10-02,
0.0,2009-10-03,
0.0,2009-10-04,
0.0,2009-10-05,
0.0,2009-10-06,
0.0,2009-10-07,
0.0,2009-10-08,
0.0,2009-10-09,
0.0,2009-10-10,
0.0,2009-10-11,
0.0,2009-10-12,
0.0,2009-10-13,
0.0,2009-10-14,
0.0,2009-10-15,
0.0,2009-10-16,
0.0,2009-10-17,
0.0,2009-10-18,
0.0,2009-10-19,
0.0,2009-10-20,
0.0,2009-10-21,
0.0,2009-10-22,
0.0,2009-10-23,
0.0,2009-10-24,
0.0,2009-10-25,
0.0,2009-10-26,
0.0,2009-10-27,
0.0,2009-10-28,
0.0,2009-10-29,
0.0,2009-10-30,
0.0,2009-10-31,
0.0,2009-11-01,
0.0,2009-11-02,
0.0,2009-11-03,
0.0,2009-11-04,
0.0,2009-11-05,
0.0,2009-11-06,
0.0,2009-11-07,
0.0,2009-11-08,
0.0,2009-11-09,
0.0,2009-11-10,
0.0,2009-11-11,
0.0,2009-11-12,
0.0,2009-11-13,
0.0,2009-11-14,
0.0,2009-11-15,
0.0,2009-11-16,
0.0,2009-11-17,
0.0,2009-11-18,
0.0,2009-11-19,
0.0,2009-11-20,
0.0,2009-11-21,
0.0,2009-11-22,
0.0,2009-11-23,
0.0,2009-11-24,
0.0,2009-11-25,
0.0,2009-11-26,
0.0,2009-11-27,
0.0,2009-11-28,
0.0,2009-11-29,
0.0,2009-11-30,
0.0,2009-12-01,
0.0,2009-12-02,
0.0,2009-12-03,
0.0,2009-12-04,
0.0,2009-12-05,
0.0,2009-12-06,
0.0,2009-12-07,
0.0,2009-12-08,
0.0,2009-12-09,
0.0,2009-12-10,
0.0,2009-12-11,
0.0,2009-12-12,
0.0,2009-12-13,
0.0,2009-12-14,
0.0,2009-12-15,
0.0,2009-12-16,
0.0,2009-12-17,
0.0,2009-12-18,
0.0,2009-12-19,
0.0,2009-12-20,
0.0,2009-12-21,
0.0,2009-12-22,
0.0,2009-12-23,
0.0,2009-12-24,
0.0,2009-12-25,
0.0,2009-12-26,
0.0,2009-12-27,
0.0,2009-12-28,
0.0,2009-12-29,
0.0,2009-12-30,
0.0,2009-12-31,
0.0,2010-01-01,
0.0,2010-01-02,
0.0,2010-01-03,
0.0,2010-01-04,
0.0,2010-01-05,
0.0,2010-01-06,
0.0,2010-01-07,
0.0,2010-01-08,
0.0,2010-01-09,
0.0,2010-01-10,
0.0,2010-01-11,
0.0,2010-01-12,
0.0,2010-01-13,
0.0,2010-01-14,
0.0,2010-01-15,
0.0,2010-01-16,
0.0,2010-01-17,
0.0,2010-01-18,
0.0,2010-01-19,
0.0,2010-01-20,
0.0,2010-01-21,
0.0,2010-01-22,
0.0,2010-01-23,
0.0,2010-01-24,
0.0,2010-01-25,
0.0,2010-01-26,
0.0,2010-01-27,
0.0,2010-01-28,
0.0,2010-01-29,
0.0,2010-01-30,
0.0,2010-01-31,
0.0,2010-02-01,
0.0,2010-02-02,
0.0,2010-02-03,
0.0,2010-02-04,
0.0,2010-02-05,
0.0,2010-02-06,
0.0,2010-02-07,
0.0,2010-02-08,
0.0,2010-02-09,
0.0,2010-02-10,
0.0,2010-02-11,
0.0,2010-02-12,
0.0,2010-02-13,
0.0,2010-02-14,
0.0,2010-02-15,
0.0,2010-02-16,
0.0,2010-02-17,
0.0,2010-02-18,
0.0,2010-02-19,
0.0,2010-02-20,
0.0,2010-02-21,
0.0,2010-02-22,
0.0,2010-02-23,
0.0,2010-02-24,
0.0,2010-02-25,
0.0,2010-02-26,
0.0,2010-02-27,
0.0,2010-02-28,
0.0,2010-03-01,
0.0,2010-03-02,
0.0,2010-03-03,
0.0,2010-03-04,
0.0,2010-03-05,
0.0,2010-03-06,
0.0,2010-03-07,
0.0,2010-03-08,
0.0,2010-03-09,
0.0,2010-03-10,
0.0,2010-03-11,
0.0,2010-03-12,
0.0,2010-03-13,
0.0,2010-03-14,
0.0,2010-03-15,
0.0,2010-03-16,
0.0,2010-03-17,
0.0,2010-03-18,
0.0,2010-03-19,
0.0,2010-03-20,
0.0,2010-03-21,
0.0,2010-03-22,
0.0,2010-03-23,
0.0,2010-03-24,
0.0,2010-03-25,
0.0,2010-03-26,
0.0,2010-03-27,
0.0,2010-03-28,
0.0,2010-03-29,
0.0,2010-03-30,
0.0,2010-03-31,
0.0,2010-04-01,
0.0,2010-04-02,
0.0,2010-04-03,
0.0,2010-04-04,
0.0,2010-04-05,
0.0,2010-04-06,
0.0,2010-04-07,
0.0,2010-04-08,
0.0,2010-04-09,
0.0,2010-04-10,
0.0,2010-04-11,
0.0,2010-04-12,
0.0,2010-04-13,
0.0,2010-04-14,
0.0,2010-04-15,
0.0,2010-04-16,
0.0,2010-04-17,
0.0,2010-04-18,
0.0,2010-04-19,
0.0,2010-04-20,
0.0,2010-04-21,
0.0,2010-04-22,
0.0,2010-04-23,
0.0,2010-04-24,
0.0,2010-04-25,
0.0,2010-04-26,
0.0,2010-04-27,
0.0,2010-04-28,
0.0,2010-04-29,
0.0,2010-04-30,
0.0,2010-05-01,
0.0,2010-05-02,
0.0,2010-05-03,
0.0,2010-05-04,
0.0,2010-05-05,
0.0,2010-05-06,
0.0,2010-05-07,
0.0,2010-05-08,
0.0,2010-05-09,
0.0,2010-05-10,
0.0,2010-05-11,
0.0,2010-05-12,
0.0,2010-05-13,
0.0,2010-05-14,
0.0,2010-05-15,
0.0,2010-05-16,
0.0,2010-05-17,
0.0,2010-05-18,
0.0,2010-05-19,
0.0,2010-05-20,
0.0,2010-05-21,
0.0,2010-05-22,
0.0,2010-05-23,
0.0,2010-05-24,
0.0,2010-05-25,
0.0,2010-05-26,
0.0,2010-05-27,
0.0,2010-05-28,
0.0,2010-05-29,
0.0,2010-05-30,
0.0,2010-05-31,
0.0,2010-06-01,
0.0,2010-06-02,
0.0,2010-06-03,
0.0,2010-06-04,
0.0,2010-06-05,
0.0,2010-06-06,
0.0,2010-06-07,
0.0,2010-06-08,
0.0,2010-06-09,
0.0,2010-06-10,
0.0,2010-06-11,
0.0,2010-06-12,
0.0,2010-06-13,
0.0,2010-06-14,
0.0,2010-06-15,
0.0,2010-06-16,
0.0,2010-06-17,
0.0,2010-06-18,
0.0,2010-06-19,
0.0,2010-06-20,
0.0,2010-06-21,
0.0,2010-06-22,
0.0,2010-06-23,
0.0,2010-06-24,
0.0,2010-06-25,
0.0,2010-06-26,
0.0,2010-06-27,
0.0,2010-06-28,
0.0,2010-06-29,
0.0,2010-06-30,
0.0,2010-07-01,
0.0,2010-07-02,
0.0,2010-07-03,
0.0,2010-07-04,
0.0,2010-07-05,
0.0,2010-07-06,
0.0,2010-07-07,
0.0,2010-07-08,
0.0,2010-07-09,
0.0,2010-07-10,
0.0,2010-07-11,
0.0,2010-07-12,
0.0,2010-07-13,
0.0,2010-07-14,
0.0,2010-07-15,
0.0,2010-07-16,
0.0,2010-07-17,
0.0,2010-07-18,
0.0,2010-07-19,
0.0,2010-07-20,
0.0,2010-07-21,
0.0,2010-07-22,
0.0,2010-07-23,
0.0,2010-07-24,
0.0,2010-07-25,
0.0,2010-07-26,
0.0,2010-07-27,
0.0,2010-07-28,
0.0,2010-07-29,
0.0,2010-07-30,
0.0,2010-07-31,
0.0,2010-08-01,
0.0,2010-08-02,
0.0,2010-08-03,
0.0,2010-08-04,
0.0,2010-08-05,
0.0,2010-08-06,
0.0,2010-08-07,
0.0,2010-08-08,
0.0,2010-08-09,
0.0,2010-08-10,
0.0,2010-08-11,
0.0,2010-08-12,
0.0,2010-08-13,
0.0,2010-08-14,
0.0,2010-08-15,
0.0769,2010-08-16,
0.0,2010-08-17,
0.0688,2010-08-18,
0.0667,2010-08-19,
0.07,2010-08-20,
0.0664,2010-08-21,
0.066,2010-08-22,
0.07,2010-08-23,
0.0665,2010-08-24,
0.066499,2010-08-25,
0.07,2010-08-26,
0.065,2010-08-27,
0.0648,2010-08-28,
0.06,2010-08-29,
0.06497,2010-08-30,
0.0649,2010-08-31,
0.06,2010-09-01,
0.0634,2010-09-02,
0.0613,2010-09-03,
0.06,2010-09-04,
0.064,2010-09-05,
0.06185,2010-09-06,
0.06,2010-09-07,
0.0624,2010-09-08,
0.06201,2010-09-09,
0.06,2010-09-10,
0.064999,2010-09-11,
0.06201,2010-09-12,
0.06,2010-09-13,
0.175,2010-09-14,
0.0619,2010-09-15,
0.15,2010-09-16,
0.0609,2010-09-17,
0.062599,2010-09-18,
0.06,2010-09-19,
0.0633,2010-09-20,
0.0628,2010-09-21,
0.06,2010-09-22,
0.06281,2010-09-23,
0.0624,2010-09-24,
0.06,2010-09-25,
0.062206,2010-09-26,
0.06271,2010-09-27,
0.06,2010-09-28,
0.06192,2010-09-29,
0.061999,2010-09-30,
0.06,2010-10-01,
0.0614,2010-10-02,
0.062,2010-10-03,
0.06,2010-10-04,
0.0633,2010-10-05,
0.0638,2010-10-06,
0.06,2010-10-07,
0.12001,2010-10-08,
0.12,2010-10-09,
0.12,2010-10-10,
0.099,2010-10-11,
0.095,2010-10-12,
0.1,2010-10-13,
0.119,2010-10-14,
0.109,2010-10-15,
0.12,2010-10-16,
0.103,2010-10-17,
0.1024,2010-10-18,
0.1,2010-10-19,
0.109,2010-10-20,
0.107,2010-10-21,
0.11,2010-10-22,
0.19,2010-10-23,
0.15,2010-10-24,
0.18,2010-10-25,
0.19,2010-10-26,
0.19001,2010-10-27,
0.19,2010-10-28,
0.1919,2010-10-29,
0.199,2010-10-30,
0.19,2010-10-31,
0.1955,2010-11-01,
0.275,2010-11-02,
0.21,2010-11-03,
0.2399,2010-11-04,
0.29,2010-11-05,
0.25,2010-11-06,
0.37,2010-11-07,
0.3368,2010-11-08,
0.36,2010-11-09,
0.24,2010-11-10,
0.251,2010-11-11,
0.24,2010-11-12,
0.299,2010-11-13,
0.2828,2010-11-14,
0.3,2010-11-15,
0.28,2010-11-16,
0.289999,2010-11-17,
0.28,2010-11-18,
0.289,2010-11-19,
0.29,2010-11-20,
0.29,2010-11-21,
0.2879,2010-11-22,
0.28299,2010-11-23,
0.29,2010-11-24,
0.289,2010-11-25,
0.284399,2010-11-26,
0.29,2010-11-27,
0.279,2010-11-28,
0.275,2010-11-29,
0.28,2010-11-30,
0.25,2010-12-01,
0.2553,2010-12-02,
0.25,2010-12-03,
0.235,2010-12-04,
0.225,2010-12-05,
0.23,2010-12-06,
0.2477,2010-12-07,
0.2388,2010-12-08,
0.25,2010-12-09,
0.2275,2010-12-10,
0.228,2010-12-11,
0.23,2010-12-12,
0.23,2010-12-13,
0.2468,2010-12-14,
0.23,2010-12-15,
0.255,2010-12-16,
0.249,2010-12-17,
0.25,2010-12-18,
0.275,2010-12-19,
0.26909,2010-12-20,
0.27,2010-12-21,
0.25,2010-12-22,
0.25,2010-12-23,
0.25,2010-12-24,
0.269999,2010-12-25,
0.265,2010-12-26,
0.27,2010-12-27,
0.301,2010-12-28,
0.299999,2010-12-29,
0.3,2010-12-30,
0.299998,2010-12-31,
0.299996,2011-01-01,
0.3,2011-01-02,
0.299899,2011-01-03,
0.298998,2011-01-04,
0.3,2011-01-05,
0.322,2011-01-06,
0.322898,2011-01-07,
0.32,2011-01-08,
0.329,2011-01-09,
0.329,2011-01-10,
0.33,2011-01-11,
0.405,2011-01-12,
0.45,2011-01-13,
0.42,2011-01-14,
0.4,2011-01-15,
0.4,2011-01-16,
0.4,2011-01-17,
0.3401,2011-01-18,
0.3675,2011-01-19,
0.35,2011-01-20,
0.4299,2011-01-21,
0.4443,2011-01-22,
0.43,2011-01-23,
0.425,2011-01-24,
0.425,2011-01-25,
0.43,2011-01-26,
0.45,2011-01-27,
0.446,2011-01-28,
0.45,2011-01-29,
0.5,2011-01-30,
0.95,2011-01-31,
0.61,2011-02-01,
0.75,2011-02-02,
0.88,2011-02-03,
0.78,2011-02-04,
0.92,2011-02-05,
0.90585,2011-02-06,
0.92,2011-02-07,
0.935,2011-02-08,
1.1,2011-02-09,
0.97,2011-02-10,
1.0899,2011-02-11,
1.08,2011-02-12,
1.09,2011-02-13,
1.085,2011-02-14,
1.05019,2011-02-15,
1.08,2011-02-16,
1.05019,2011-02-17,
1.02,2011-02-18,
1.04,2011-02-19,
0.8796,2011-02-20,
0.869499,2011-02-21,
0.88,2011-02-22,
0.9499,2011-02-23,
1.0,2011-02-24,
0.96,2011-02-25,
0.96,2011-02-26,
0.949231,2011-02-27,
0.96,2011-02-28,
0.9498,2011-03-01,
0.94,2011-03-02,
0.95,2011-03-03,
0.918901,2011-03-04,
0.910445,2011-03-05,
0.92,2011-03-06,
0.9072,2011-03-07,
0.883751,2011-03-08,
0.9,2011-03-09,
0.9329,2011-03-10,
0.9197,2011-03-11,
0.93,2011-03-12,
0.9,2011-03-13,
0.899885,2011-03-14,
0.9,2011-03-15,
0.88,2011-03-16,
0.850617,2011-03-17,
0.87,2011-03-18,
0.79,2011-03-19,
0.7883,2011-03-20,
0.79,2011-03-21,
0.85,2011-03-22,
0.9,2011-03-23,
0.86,2011-03-24,
0.905,2011-03-25,
0.8958,2011-03-26,
0.9,2011-03-27,
0.8,2011-03-28,
0.795,2011-03-29,
0.8,2011-03-30,
0.79997,2011-03-31,
0.79697,2011-04-01,
0.8,2011-04-02,
0.79,2011-04-03,
0.71,2011-04-04,
0.77,2011-04-05,
0.7677,2011-04-06,
0.799,2011-04-07,
0.78,2011-04-08,
0.758899,2011-04-09,
0.781,2011-04-10,
0.76,2011-04-11,
1.0,2011-04-12,
0.94,2011-04-13,
0.99,2011-04-14,
1.095,2011-04-15,
1.085,2011-04-16,
1.09,2011-04-17,
1.19,2011-04-18,
1.1979,2011-04-19,
1.19,2011-04-20,
1.332,2011-04-21,
1.549,2011-04-22,
1.38,2011-04-23,
1.701,2011-04-24,
1.73,2011-04-25,
1.71,2011-04-26,
2.65,2011-04-27,
2.7,2011-04-28,
2.66,2011-04-29,
4.09,2011-04-30,
3.495,2011-05-01,
3.95,2011-05-02,
3.58,2011-05-03,
3.5,2011-05-04,
3.56,2011-05-05,
3.7,2011-05-06,
3.9,2011-05-07,
3.75,2011-05-08,
5.2,2011-05-09,
6.065,2011-05-10,
5.41,2011-05-11,
8.45,2011-05-12,
8.9,2011-05-13,
8.56,2011-05-14,
8.5,2011-05-15,
8.38901,2011-05-16,
8.47,2011-05-17,
7.34,2011-05-18,
7.1,2011-05-19,
7.28,2011-05-20,
6.61,2011-05-21,
7.45,2011-05-22,
6.81,2011-05-23,
7.51,2011-05-24,
9.33,2011-05-25,
7.95,2011-05-26,
8.735,2011-05-27,
8.4992,2011-05-28,
8.68,2011-05-29,
9.4998,2011-05-30,
9.391,2011-05-31,
9.47,2011-06-01,
14.3,2011-06-02,
17.41,2011-06-03,
15.05,2011-06-04,
19.23,2011-06-05,
19.06,2011-06-06,
19.19,2011-06-07,
31.5,2011-06-08,
35.0,2011-06-09,
32.34,2011-06-10,
24.99,2011-06-11,
24.5,2011-06-12,
24.87,2011-06-13,
20.0,2011-06-14,
19.96,2011-06-15,
19.99,2011-06-16,
17.2,2011-06-17,
18.8766,2011-06-18,
17.6,2011-06-19,
15.5,2011-06-20,
15.05,2011-06-21,
15.39,2011-06-22,
16.7501,2011-06-23,
17.6,2011-06-24,
16.95,2011-06-25,
18.0,2011-06-26,
17.52,2011-06-27,
17.89,2011-06-28,
17.5,2011-06-29,
17.0,2011-06-30,
17.38,2011-07-01,
15.7,2011-07-02,
15.85,2011-07-03,
15.74,2011-07-04,
16.5,2011-07-05,
16.25,2011-07-06,
16.44,2011-07-07,
15.0,2011-07-08,
15.68,2011-07-09,
15.16,2011-07-10,
14.63988,2011-07-11,
14.15,2011-07-12,
14.52,2011-07-13,
14.3,2011-07-14,
14.1,2011-07-15,
14.25,2011-07-16,
13.6901,2011-07-17,
14.7,2011-07-18,
13.93,2011-07-19,
13.9389,2011-07-20,
13.9389,2011-07-21,
13.94,2011-07-22,
13.979999,2011-07-23,
14.7399,2011-07-24,
14.16,2011-07-25,
14.13,2011-07-26,
14.0,2011-07-27,
14.1,2011-07-28,
13.8,2011-07-29,
14.8999,2011-07-30,
14.06,2011-07-31,
13.45,2011-08-01,
13.1,2011-08-02,
13.37,2011-08-03,
11.55,2011-08-04,
11.0,2011-08-05,
11.42,2011-08-06,
8.89,2011-08-07,
12.1,2011-08-08,
9.66,2011-08-09,
10.4959,2011-08-10,
9.89520343,2011-08-11,
10.35,2011-08-12,
11.24,2011-08-13,
11.89,2011-08-14,
11.4,2011-08-15,
11.3,2011-08-16,
11.67,2011-08-17,
11.39,2011-08-18,
11.798,2011-08-19,
11.59,2011-08-20,
11.75,2011-08-21,
11.49,2011-08-22,
11.4,2011-08-23,
11.47,2011-08-24,
10.3,2011-08-25,
9.11,2011-08-26,
10.01,2011-08-27,
9.4811,2011-08-28,
9.15031,2011-08-29,
9.4,2011-08-30,
8.44934,2011-08-31,
8.4989,2011-09-01,
8.46,2011-09-02,
8.593999999,2011-09-03,
8.467,2011-09-04,
8.56,2011-09-05,
7.59916,2011-09-06,
7.31509,2011-09-07,
7.53,2011-09-08,
6.20892,2011-09-09,
7.4,2011-09-10,
6.49,2011-09-11,
6.25,2011-09-12,
5.990000001,2011-09-13,
6.19,2011-09-14,
5.23,2011-09-15,
5.022,2011-09-16,
5.18,2011-09-17,
5.6,2011-09-18,
6.795,2011-09-19,
5.89,2011-09-20,
5.83001,2011-09-21,
5.70653,2011-09-22,
5.8,2011-09-23,
5.5,2011-09-24,
5.46014,2011-09-25,
5.49,2011-09-26,
4.989,2011-09-27,
4.809,2011-09-28,
4.95,2011-09-29,
5.3,2011-09-30,
5.16,2011-10-01,
5.27,2011-10-02,
5.03,2011-10-03,
5.025,2011-10-04,
5.03,2011-10-05,
4.85,2011-10-06,
4.594,2011-10-07,
4.79,2011-10-08,
4.25937,2011-10-09,
4.14001,2011-10-10,
4.23,2011-10-11,
4.45,2011-10-12,
4.11455,2011-10-13,
4.37,2011-10-14,
3.9009,2011-10-15,
3.75996,2011-10-16,
3.87,2011-10-17,
2.64999,2011-10-18,
2.42,2011-10-19,
2.59,2011-10-20,
3.3,2011-10-21,
3.36,2011-10-22,
3.31,2011-10-23,
3.04,2011-10-24,
2.876,2011-10-25,
3.0,2011-10-26,
3.255,2011-10-27,
3.82717,2011-10-28,
3.39,2011-10-29,
3.388,2011-10-30,
3.35,2011-10-31,
3.38,2011-11-01,
3.299,2011-11-02,
3.21874,2011-11-03,
3.28,2011-11-04,
3.05,2011-11-05,
3.0289,2011-11-06,
3.04,2011-11-07,
3.114,2011-11-08,
3.0,2011-11-09,
3.09,2011-11-10,
3.11,2011-11-11,
3.099,2011-11-12,
3.11,2011-11-13,
2.69,2011-11-14,
2.6,2011-11-15,
2.67,2011-11-16,
2.38998,2011-11-17,
2.3,2011-11-18,
2.37,2011-11-19,
2.29,2011-11-20,
2.35,2011-11-21,
2.3,2011-11-22,
2.46,2011-11-23,
2.56,2011-11-24,
2.48,2011-11-25,
2.4965,2011-11-26,
2.53899,2011-11-27,
2.51,2011-11-28,
2.959,2011-11-29,
3.14,2011-11-30,
3.0,2011-12-01,
3.12999,2011-12-02,
2.99,2011-12-03,
3.1,2011-12-04,
3.05,2011-12-05,
3.082,2011-12-06,
3.06,2011-12-07,
3.039,2011-12-08,
3.04,2011-12-09,
3.04,2011-12-10,
3.34237,2011-12-11,
3.3,2011-12-12,
3.33,2011-12-13,
3.1933,2011-12-14,
3.23,2011-12-15,
3.2,2011-12-16,
3.25,2011-12-17,
3.70036,2011-12-18,
3.36,2011-12-19,
4.11,2011-12-20,
3.99199,2011-12-21,
4.08,2011-12-22,
3.9499,2011-12-23,
4.3897,2011-12-24,
4.06,2011-12-25,
4.06,2011-12-26,
4.18888,2011-12-27,
4.09,2011-12-28,
4.3,2011-12-29,
4.995,2011-12-30,
4.47,2011-12-31,
5.4999,2012-01-01,
5.29,2012-01-02,
5.45,2012-01-03,
6.399,2012-01-04,
7.22,2012-01-05,
6.6,2012-01-06,
7.2,2012-01-07,
7.2,2012-01-08,
7.2,2012-01-09,
7.138,2012-01-10,
6.997,2012-01-11,
7.1,2012-01-12,
6.75,2012-01-13,
6.98999,2012-01-14,
6.81,2012-01-15,
6.98,2012-01-16,
6.95,2012-01-17,
6.97,2012-01-18,
6.58,2012-01-19,
6.55,2012-01-20,
6.57,2012-01-21,
6.45485,2012-01-22,
6.515,2012-01-23,
6.47,2012-01-24,
6.2,2012-01-25,
5.689,2012-01-26,
6.08,2012-01-27,
5.76,2012-01-28,
5.6,2012-01-29,
5.72,2012-01-30,
5.638,2012-01-31,
6.2,2012-02-01,
5.77,2012-02-02,
6.0,2012-02-03,
5.9625,2012-02-04,
5.99,2012-02-05,
5.70999,2012-02-06,
5.8494,2012-02-07,
5.74,2012-02-08,
5.92525,2012-02-09,
6.0,2012-02-10,
5.94,2012-02-11,
5.72,2012-02-12,
5.6,2012-02-13,
5.69,2012-02-14,
4.73368,2012-02-15,
4.76998,2012-02-16,
4.74,2012-02-17,
4.33333,2012-02-18,
4.52,2012-02-19,
4.38,2012-02-20,
4.54,2012-02-21,
4.92481,2012-02-22,
4.63,2012-02-23,
5.07,2012-02-24,
5.00073,2012-02-25,
5.05,2012-02-26,
5.0,2012-02-27,
4.9,2012-02-28,
